     index      Pt.x      Pt.y
       329    262.17	    275.48
       330     45.68	    164.93
       331    453.87	    245.95
       332     44.69	    306.58
       333    405.85	    225.34
       334    398.47	    199.82
       335     32.19	    307.49
       336    276.03	    162.88
       337    214.20	    181.09
       338    131.23	    199.26
       339    263.28	    234.75
       340    320.34	    232.95
       341    346.20	    242.96
       342    353.63	    304.21
       343    211.88	    360.48
       344    228.96	    309.76
       345    243.53	    258.05
       346     57.15	    173.65
       347    233.74	    260.98
       348    115.36	    216.81
       349     94.57	    329.66
       350    143.73	    192.94
       351    236.39	    156.26
       352    112.31	    320.22
       353     61.44	    207.78
       354    322.59	    316.42
       355    433.78	    294.25
       356    228.55	    338.97
       357     35.46	    256.74
       358    311.87	    151.50
       359    280.88	    312.82
       360    119.10	    263.24
       361    124.05	    150.05
       362    363.22	    241.19
       363    472.30	    309.13
       364    296.97	    213.69
       365    314.63	    297.93
       366    116.47	    163.90
       367    363.59	    292.50
       368    170.86	    214.69
       369     96.29	    314.92
       370    364.75	    242.96
       371     46.99	    298.00
       372    320.27	    268.66
       373    285.24	    167.89
       374    198.76	    312.74
       375     51.95	    321.28
       376    265.00	    161.43
       377    160.84	    236.57
       378    389.10	    148.24
       379    117.24	    207.00
       380    270.04	    206.91
       381     19.22	    335.50
       382    155.41	    231.09
       383    471.89	    249.08
       384    360.00	    205.63
       385    208.15	    353.94
       386    418.82	    335.16
       387    363.09	    201.96
       388    413.92	    298.87
       389    109.51	    234.24
       390    467.09	    349.99
       391    281.06	    295.04
       392    241.79	    354.07
       393     56.14	    238.12
       394     24.36	    190.70
       395    423.30	    247.53
       396     82.66	    146.29
       397    352.13	    230.17
       398    461.16	    238.46
       399     20.32	    112.74
       400    127.87	    170.95
       401    242.15	    355.74
       402    213.21	    299.12
       403    115.25	    242.34
       404    457.62	    336.84
       405    242.92	    330.45
       406     14.08	    232.11
       407    392.24	    208.77
       408    285.19	    229.28
       409    450.71	    206.72
       410    269.17	    155.14
       411    155.23	    259.06
       412    216.46	    193.05
       413     92.91	    180.67
       414    390.63	    270.27
       415    422.93	    272.18
       416    140.45	    217.79
       417    346.82	    160.71
       418    142.97	    256.63
       419     21.96	    112.80
       420    116.46	    357.86
       421    412.42	    279.57
       422    339.09	    240.88
       423    256.73	    296.08
       424     64.19	    122.14
       425    445.06	    199.45
       426    225.55	    199.31
       427    365.68	    201.93
       428     77.95	    137.01
       429    444.45	    259.44
       430    344.43	    355.69
       431     63.36	    174.50
       432    418.57	    302.28
       433    354.50	    216.14
       434    303.58	    157.43
       435    443.31	    199.54
       436    469.58	    231.86
       437    303.61	    166.63
       438    390.02	    265.41
       439    184.25	    286.03
       440    103.52	    149.70
