  distance  queryIdx  trainIdx    imgIdx
      0.10       420       496         0
      0.21       421       500         0
      0.29       422       377         0
      0.34       423       298         0
      0.27       424       777         0
      0.31       425       101         0
      0.33       426       649         0
      0.30       427        54         0
      0.16       428       213         0
      0.30       429       338         0
      0.30       430       730         0
      0.31       431       540         0
      0.30       432       261         0
      0.05       433       417         0
      0.27       434       316         0
      0.30       435       499         0
      0.29       436        60         0
      0.32       437        55         0
      0.05       438       471         0
      0.27       439       733         0
      0.24       440       930         0
      0.30       441       307         0
      0.37       442       303         0
      0.11       443       501         0
      0.08       444       468         0
      0.04       445       461         0
      0.30       446       803         0
      0.31       447       601         0
      0.25       448       262         0
      0.13       449       440         0
      0.41       450       632         0
      0.34       451       793         0
      0.33       452       719         0
      0.14       453       518         0
      0.27       454       511         0
      0.31       455       736         0
      0.26       456        26         0
      0.06       457       566         0
      0.38       458       743         0
      0.07       459       432         0
      0.30       460       272         0
      0.09       461       507         0
      0.29       462       798         0
      0.30       463       840         0
      0.28       464       209         0
      0.23       465       475         0
      0.17       466       386         0
      0.34       467       661         0
      0.31       468       624         0
      0.30       469       198         0
      0.36       470       891         0
      0.22       471       540         0
      0.34       472       930         0
      0.27       473       390         0
      0.21       474       301         0
      0.34       475       160         0
      0.31       476       899         0
      0.32       477       728         0
      0.22       478       455         0
      0.21       479       386         0
      0.32       480       770         0
      0.26       481       472         0
      0.08       482       490         0
      0.31       483       466         0
      0.07       484       458         0
      0.35       485       618         0
      0.15       486       494         0
      0.33       487        59         0
      0.37       488       415         0
      0.26       489       233         0
      0.29       490       662         0
      0.36       491       538         0
      0.04       492       451         0
      0.11       493       480         0
      0.26       494       601         0
      0.08       495       562         0
      0.09       496       439         0
      0.30       497        27         0
      0.24       498       473         0
      0.16       499       466         0
      0.30       500       898         0
      0.14       501       301         0
      0.43       502       307         0
      0.26       503       653         0
      0.35       504       378         0
      0.31       505       271         0
      0.36       506       348         0
      0.43       507       716         0
      0.12       508       435         0
      0.24       509       509         0
      0.37       510       842         0
      0.30       511       233         0
      0.29       512        50         0
      0.35       513       928         0
      0.10       514       544         0
      0.29       515       744         0
      0.16       516       514         0
      0.05       517       482         0
      0.35       518       777         0
      0.33       519       118         0
      0.20       520       417         0
      0.36       521       794         0
      0.28       522        61         0
      0.34       523       296         0
      0.26       524       531         0
      0.15       525       520         0
      0.32       526       511         0
      0.31       527       773         0
      0.31       528       666         0
      0.38       529       276         0
      0.20       530       413         0
      0.10       531       498         0
      0.29       532       298         0
      0.39       533       814         0
      0.24       534       764         0
      0.31       535       730         0
      0.15       536       585         0
      0.28       537       731         0
      0.35       538       794         0
      0.04       539       509         0
      0.22       540       177         0
      0.20       541        15         0
      0.33       542       180         0
      0.32       543       399         0
      0.16       544       451         0
      0.07       545       519         0
      0.25       546       683         0
      0.22       547       796         0
      0.37       548       655         0
      0.27       549       920         0
      0.10       550       486         0
      0.32       551       746         0
      0.26       552       321         0
      0.34       553       525         0
      0.31       554       117         0
      0.13       555       515         0
      0.11       556       517         0
      0.32       557       274         0
      0.31       558       365         0
      0.29       559       615         0
      0.32       560       426         0
      0.19       561       500         0
      0.29       562       855         0
      0.24       563       579         0
      0.32       564       510         0
      0.27       565       150         0
      0.30       566       593         0
      0.31       567        96         0
      0.10       568       587         0
      0.31       569       296         0
      0.39       570        84         0
      0.14       571       451         0
      0.31       572       276         0
      0.30       573       327         0
      0.34       574       327         0
      0.27       575       559         0
      0.29       576       295         0
      0.13       577       401         0
      0.32       578       836         0
      0.06       579       502         0
      0.04       580       569         0
      0.35       581       517         0
      0.30       582       571         0
      0.24       583       546         0
      0.31       584       701         0
      0.32       585        55         0
      0.37       586       569         0
      0.24       587       683         0
      0.41       588       484         0
      0.21       589       576         0
      0.08       590       538         0
      0.10       591       548         0
      0.31       592       466         0
      0.37       593        61         0
      0.30       594        58         0
      0.30       595       881         0
      0.32       596       395         0
      0.27       597       108         0
      0.29       598       803         0
      0.03       599       470         0
      0.35       600       576         0
      0.34       601       350         0
      0.15       602       559         0
      0.23       603       393         0
      0.07       604       622         0
      0.22       605       365         0
      0.03       606       579         0
      0.05       607       575         0
      0.30       608       773         0
      0.18       609       369         0
      0.08       610       540         0
      0.26       611       407         0
      0.27       612       335         0
      0.34       613       189         0
      0.27       614       357         0
      0.05       615       674         0
      0.16       616       579         0
      0.37       617       780         0
      0.07       618       545         0
      0.37       619       624         0
      0.28       620       530         0
      0.26       621       792         0
      0.31       622       773         0
      0.36       623       443         0
      0.28       624       110         0
      0.33       625       254         0
      0.41       626       933         0
      0.28       627       210         0
      0.34       628        97         0
      0.07       629       493         0
      0.31       630       223         0
      0.32       631       268         0
      0.21       632       911         0
      0.31       633       891         0
      0.31       634         5         0
      0.30       635       662         0
      0.29       636       378         0
      0.33       637       850         0
      0.13       638       696         0
      0.37       639       739         0
      0.30       640       313         0
      0.34       641       115         0
      0.39       642       568         0
      0.25       643       234         0
      0.06       644       586         0
      0.33       645       489         0
      0.06       646       757         0
      0.28       647       317         0
      0.26       648       718         0
      0.29       649       738         0
      0.04       650       549         0
      0.34       651        55         0
      0.36       652       309         0
      0.35       653       743         0
      0.35       654       262         0
      0.34       655       208         0
      0.22       656       351         0
      0.08       657       560         0
      0.08       658       668         0
      0.31       659       155         0
      0.24       660       696         0
      0.38       661       842         0
      0.13       662       646         0
      0.35       663       795         0
      0.23       664       764         0
      0.30       665       920         0
      0.35       666       688         0
      0.05       667       619         0
      0.06       668       625         0
      0.38       669        97         0
      0.31       670       254         0
      0.29       671       688         0
      0.29       672       117         0
      0.25       673       521         0
      0.20       674       151         0
      0.35       675       739         0
      0.31       676       335         0
      0.03       677       611         0
      0.30       678       629         0
      0.22       679       440         0
      0.30       680       787         0
      0.35       681       601         0
      0.29       682       554         0
      0.30       683       376         0
      0.39       684       702         0
      0.32       685       506         0
      0.27       686       925         0
      0.25       687       386         0
      0.40       688       858         0
      0.35       689       242         0
      0.35       690       903         0
      0.33       691       660         0
      0.30       692       461         0
      0.07       693       652         0
      0.09       694       714         0
      0.17       695       451         0
      0.06       696       683         0
      0.37       697       233         0
      0.26       698       592         0
      0.29       699       512         0
      0.27       700       823         0
      0.31       701       284         0
