     index      Pt.x      Pt.y
       193    463.53	    195.81
       194    345.10	    288.80
       195     23.46	    261.45
       196    327.13	    299.29
       197     87.20	    232.98
       198    228.29	    141.29
       199     25.68	    248.18
       200    398.54	    288.99
       201    251.62	    146.44
       202    416.70	    249.17
       203    305.85	    149.36
       204    270.11	    337.11
       205    385.77	    199.85
       206    398.59	    287.23
       207     87.81	    185.67
       208    104.01	    290.08
       209    107.97	    301.41
       210    461.43	    295.20
       211    237.86	    154.99
       212    428.49	    176.33
       213    137.64	    199.06
       214     59.00	    258.47
       215     75.96	    294.08
       216    412.18	    221.59
       217    236.44	    187.94
       218     85.84	    345.07
       219    311.00	    344.93
       220    292.90	    139.33
       221     96.70	    309.96
       222    405.80	    222.46
       223     15.39	    359.74
       224     43.65	    254.95
       225     56.28	    354.55
       226    215.69	    191.00
       227     40.73	    277.24
       228     83.20	    263.83
       229     97.42	    336.58
       230    235.09	    268.38
       231    339.52	    320.24
       232    240.37	    168.04
       233    411.42	    297.41
       234     86.07	    200.47
       235    233.36	    216.78
       236    468.32	    195.79
       237     46.23	    354.16
       238    311.91	    147.49
       239    401.40	    361.01
       240    364.84	    326.09
       241    322.72	    253.25
       242    337.24	    319.21
       243    394.31	    187.92
       244    419.74	    336.67
       245    360.83	    210.81
       246     53.34	    214.90
       247    223.27	    149.19
       248    448.16	    271.08
       249    246.74	    167.88
       250    256.21	    214.66
       251    162.30	    299.86
       252    168.10	    338.77
       253    355.22	    148.29
       254     75.39	    307.46
       255    241.59	    175.36
       256    359.56	    211.11
       257    162.90	    298.19
       258    141.39	    188.52
       259    406.08	    320.63
       260     40.37	    266.77
       261    465.89	    339.29
       262     41.26	    211.66
       263     81.39	    347.11
       264    325.68	    277.37
       265    170.18	    220.83
       266    158.74	    285.45
       267    374.32	    263.07
       268    259.43	    186.64
       269    407.91	    349.91
       270    266.16	    144.75
       271    252.90	    139.60
       272    175.48	    177.83
       273    326.86	    308.72
       274    140.40	    323.52
       275    204.12	    360.26
       276    173.32	    165.93
       277    177.49	    177.64
       278    104.46	    314.91
       279    107.49	    337.33
       280     56.95	    179.76
       281    319.71	    296.62
       282    244.52	    238.20
       283    101.65	    193.32
       284    168.45	    166.36
       285    183.41	    280.18
       286     96.35	    352.86
       287    175.36	    189.66
       288    344.34	    309.58
       289    185.16	    281.31
       290    477.97	    270.03
       291    334.48	    336.98
       292    322.62	    254.62
       293    445.25	    206.93
       294    403.94	    174.77
       295    410.01	    180.51
       296    323.29	    277.94
       297     89.35	    193.03
       298    423.05	    214.30
       299     25.42	    182.02
       300    357.51	    145.63
       301    236.80	    152.34
       302    214.54	    208.03
       303     92.64	    281.89
       304    431.89	    272.01
       305    205.96	    288.36
       306    109.22	    308.60
       307     51.94	    274.65
       308    435.55	    210.01
       309     35.52	    220.93
       310    254.94	    139.45
       311    476.14	    205.04
       312    254.35	    166.78
       313    235.47	    218.06
       314    243.02	    192.21
       315    283.74	    158.05
       316     30.88	    340.10
       317    252.05	    255.85
       318    428.30	    250.30
       319    232.84	    176.56
       320    469.57	    268.59
       321    218.12	    170.59
       322     69.06	    348.44
       323     40.24	    110.47
       324    106.38	    322.10
       325     10.53	    325.04
       326    189.44	    207.27
       327    228.25	    280.54
       328    385.29	    176.45
       329    443.10	    248.81
       330     92.64	    280.38
       331    295.97	    323.99
       332    107.93	    347.17
       333     71.80	    348.39
       334    248.55	    285.57
       335     68.82	    213.55
       336    408.66	    322.24
       337    225.57	    178.84
       338    257.69	    131.18
       339    360.12	    147.18
       340    308.35	    190.01
       341    392.63	    144.00
       342    105.00	    206.03
       343    337.05	    120.24
       344    422.68	    242.19
       345    406.27	    336.93
       346     24.68	    292.26
       347    284.43	    223.80
       348    384.54	    176.44
       349    108.69	    336.33
       350    480.40	    221.26
       351     82.15	    325.53
       352    424.18	    328.15
       353    322.54	    270.69
       354    158.51	    180.91
       355     56.08	    267.00
       356    356.97	    311.76
       357    236.04	    153.44
       358    211.02	    197.46
       359    266.43	    256.47
       360    137.94	    220.20
       361    358.47	    242.55
       362     80.35	    310.55
       363    149.57	    214.23
       364    447.75	    212.80
       365    315.74	    118.44
       366     47.26	    272.69
       367    123.65	    336.70
       368    341.20	    317.93
       369     64.08	    269.53
       370    126.99	    189.52
       371    236.40	    204.61
       372    360.56	    332.27
       373     96.62	    351.75
       374     67.19	    179.51
       375    286.81	    261.16
       376    219.82	    300.80
       377    369.41	    244.07
       378    253.41	    211.46
       379    164.85	    302.57
       380    104.26	    221.82
       381    320.65	    191.59
       382    226.19	    288.41
       383     48.75	    273.81
       384    271.61	    275.41
       385    119.25	    265.08
       386    271.17	    333.03
       387    336.03	    199.74
       388    192.23	    209.84
       389    486.78	    224.02
       390     74.07	    350.31
       391    292.23	    243.29
       392    442.00	    268.75
       393    399.64	    198.25
       394    195.96	    163.48
       395     67.64	    187.97
       396    122.39	    335.33
       397    458.30	    200.74
       398    130.61	    205.31
       399    348.55	    179.29
       400    322.07	    142.45
       401     85.36	    358.91
       402     64.53	    110.88
       403    322.09	    182.91
       404     88.66	    191.23
       405     59.85	    196.25
       406    220.65	    247.10
       407    397.68	    172.12
       408    322.24	    283.80
       409    260.90	    242.83
       410     82.77	    350.42
       411    214.90	    271.98
       412     97.47	    300.45
       413     89.51	    341.83
       414    456.83	    265.52
       415    397.27	    154.05
       416    245.34	    288.67
       417    346.16	    268.88
       418    346.02	    311.59
       419     25.04	     30.85
       420    330.73	    277.02
       421    142.11	    126.27
       422    268.86	    181.46
       423    182.12	    219.84
       424     54.34	    252.46
       425     45.25	    203.76
       426    262.16	    321.02
       427     82.99	    311.72
