  distance  queryIdx  trainIdx    imgIdx
      0.39       554       374         0
      0.33       555       172         0
      0.30       556       271         0
      0.22       557       476         0
      0.26       558       135         0
      0.09       559       563         0
      0.32       560       503         0
      0.32       561       536         0
      0.28       562       730         0
      0.24       563       545         0
      0.04       564       461         0
      0.18       565       600         0
      0.29       566       748         0
      0.12       567       553         0
      0.05       568       522         0
      0.06       569       516         0
      0.35       570        60         0
      0.31       571       736         0
      0.03       572       553         0
      0.21       573       171         0
      0.33       574       208         0
      0.26       575         3         0
      0.23       576       513         0
      0.15       577       642         0
      0.33       578       608         0
      0.36       579       547         0
      0.15       580       555         0
      0.31       581       686         0
      0.13       582       529         0
      0.29       583       115         0
      0.23       584       849         0
      0.31       585       613         0
      0.37       586       668         0
      0.26       587       792         0
      0.34       588       122         0
      0.32       589       611         0
      0.03       590       627         0
      0.35       591       396         0
      0.28       592       656         0
      0.22       593       551         0
      0.13       594       554         0
      0.20       595       419         0
      0.13       596       526         0
      0.15       597       399         0
      0.33       598       201         0
      0.44       599       741         0
      0.33       600       828         0
      0.37       601       638         0
      0.28       602       828         0
      0.07       603       504         0
      0.22       604       730         0
      0.07       605       510         0
      0.36       606       559         0
      0.41       607       716         0
      0.24       608       137         0
      0.29       609       601         0
      0.10       610       623         0
      0.33       611       451         0
      0.09       612       599         0
      0.31       613       430         0
      0.28       614       335         0
      0.31       615       207         0
      0.28       616       350         0
      0.33       617       529         0
      0.27       618       314         0
      0.26       619       413         0
      0.03       620       515         0
      0.22       621       401         0
      0.28       622       609         0
      0.31       623        81         0
      0.06       624       610         0
      0.35       625       183         0
      0.27       626       677         0
      0.28       627       564         0
      0.33       628       682         0
      0.33       629       263         0
      0.27       630       627         0
      0.28       631       743         0
      0.21       632       590         0
      0.08       633       556         0
      0.34       634       535         0
      0.17       635       318         0
      0.33       636       858         0
      0.29       637       880         0
      0.04       638       581         0
      0.08       639       469         0
      0.30       640       850         0
      0.04       641       601         0
      0.37       642       436         0
      0.38       643       540         0
      0.33       644       354         0
      0.30       645       487         0
      0.37       646       657         0
      0.20       647       491         0
      0.16       648       544         0
      0.27       649       707         0
      0.33       650       360         0
      0.11       651       743         0
      0.40       652       247         0
      0.32       653       605         0
      0.29       654       315         0
      0.28       655       641         0
      0.27       656       683         0
      0.09       657       569         0
      0.26       658       217         0
      0.36       659       792         0
      0.39       660        36         0
      0.26       661       401         0
      0.33       662       690         0
      0.25       663       318         0
      0.17       664       154         0
      0.09       665       716         0
      0.31       666        21         0
      0.05       667       678         0
      0.09       668       674         0
      0.30       669       841         0
      0.36       670       557         0
      0.30       671       416         0
      0.30       672       432         0
      0.38       673       552         0
      0.28       674       383         0
      0.36       675       688         0
      0.33       676       263         0
      0.26       677       127         0
      0.15       678       633         0
      0.29       679       174         0
      0.08       680       565         0
      0.34       681       503         0
      0.13       682       600         0
      0.03       683       709         0
      0.17       684       625         0
      0.33       685       486         0
      0.07       686       587         0
      0.33       687       750         0
      0.26       688       323         0
      0.28       689       835         0
      0.30       690       493         0
      0.31       691       509         0
      0.36       692       874         0
      0.30       693       760         0
      0.13       694       586         0
      0.18       695       726         0
      0.05       696       666         0
      0.35       697       107         0
      0.33       698       174         0
      0.27       699       705         0
      0.37       700       702         0
      0.31       701       520         0
      0.34       702       207         0
      0.36       703       844         0
      0.22       704       764         0
      0.03       705       527         0
      0.32       706       743         0
      0.09       707       690         0
      0.37       708       791         0
      0.33       709       512         0
      0.04       710       663         0
      0.23       711        58         0
      0.32       712       891         0
      0.23       713       378         0
      0.29       714       362         0
      0.32       715       284         0
      0.33       716       642         0
      0.25       717       224         0
      0.30       718        63         0
      0.37       719       841         0
      0.10       720       560         0
      0.28       721       704         0
      0.34       722       864         0
      0.29       723       606         0
      0.30       724       101         0
      0.21       725       568         0
      0.34       726        72         0
      0.34       727       232         0
      0.29       728       501         0
      0.29       729       229         0
      0.34       730       140         0
      0.26       731       570         0
      0.33       732       410         0
      0.31       733       522         0
      0.36       734       478         0
      0.37       735       209         0
      0.31       736       888         0
      0.13       737       626         0
      0.12       738       611         0
      0.29       739       288         0
      0.23       740       417         0
      0.37       741       794         0
      0.27       742       889         0
      0.30       743       511         0
      0.35       744       268         0
      0.29       745        53         0
      0.30       746       711         0
      0.31       747       682         0
      0.18       748       722         0
      0.28       749       115         0
      0.32       750       788         0
      0.12       751       746         0
      0.31       752        35         0
      0.32       753       441         0
      0.35       754       699         0
      0.36       755       119         0
      0.36       756       101         0
      0.26       757       648         0
      0.38       758        65         0
      0.30       759       112         0
      0.26       760       133         0
      0.33       761       407         0
      0.22       762       491         0
      0.29       763       812         0
      0.35       764       208         0
      0.02       765       665         0
      0.14       766       745         0
      0.20       767       491         0
      0.35       768       324         0
      0.23       769       822         0
      0.31       770       515         0
      0.28       771       684         0
      0.33       772       560         0
      0.34       773       271         0
      0.03       774       737         0
      0.29       775       649         0
      0.38       776       601         0
      0.16       777       859         0
      0.08       778       727         0
      0.39       779       560         0
      0.31       780       809         0
      0.30       781       830         0
      0.26       782       649         0
      0.25       783       316         0
      0.16       784       581         0
      0.33       785       260         0
      0.23       786       852         0
      0.16       787       816         0
      0.28       788       578         0
      0.29       789       715         0
      0.12       790       790         0
      0.37       791       326         0
      0.36       792       352         0
      0.31       793       389         0
      0.37       794       683         0
      0.28       795       513         0
      0.14       796       739         0
      0.22       797       801         0
      0.37       798       580         0
      0.16       799       659         0
      0.27       800       140         0
      0.10       801       735         0
      0.28       802        62         0
      0.36       803       148         0
      0.30       804       185         0
      0.30       805       366         0
      0.23       806       416         0
      0.38       807       269         0
      0.27       808       780         0
      0.31       809       690         0
      0.33       810       429         0
      0.33       811        60         0
      0.26       812       670         0
      0.29       813       115         0
      0.24       814       323         0
      0.39       815       465         0
      0.28       816        60         0
      0.33       817       314         0
      0.31       818       649         0
      0.19       819       773         0
      0.17       820       680         0
      0.36       821       411         0
      0.29       822       658         0
      0.34       823       526         0
      0.38       824       509         0
      0.25       825       656         0
      0.20       826       706         0
      0.43       827       330         0
      0.23       828       754         0
      0.07       829       581         0
      0.04       830       817         0
      0.26       831       648         0
      0.40       832       731         0
      0.34       833       886         0
      0.30       834        68         0
      0.33       835       433         0
      0.34       836       653         0
      0.07       837       779         0
      0.30       838       183         0
      0.27       839       249         0
      0.30       840       135         0
      0.20       841       843         0
      0.27       842       207         0
      0.10       843       858         0
      0.14       844       419         0
      0.12       845       717         0
      0.37       846       482         0
      0.33       847       142         0
      0.21       848       893         0
      0.21       849       361         0
      0.34       850       844         0
      0.32       851       674         0
      0.30       852       858         0
      0.43       853       811         0
      0.40       854       686         0
      0.29       855       487         0
      0.38       856       201         0
      0.29       857       190         0
      0.34       858       172         0
      0.33       859       358         0
      0.37       860       452         0
      0.09       861       707         0
      0.31       862       711         0
      0.37       863       587         0
      0.33       864       670         0
      0.35       865       869         0
      0.32       866       123         0
      0.08       867       719         0
      0.37       868        60         0
      0.43       869        65         0
      0.36       870        63         0
      0.22       871       777         0
      0.30       872       126         0
      0.30       873       341         0
      0.33       874        12         0
      0.29       875       341         0
      0.07       876       753         0
      0.29       877       743         0
      0.24       878       399         0
      0.28       879       729         0
      0.15       880       801         0
      0.29       881       140         0
      0.27       882       729         0
      0.16       883       871         0
      0.20       884       853         0
      0.06       885       872         0
      0.29       886       694         0
      0.37       887       845         0
      0.29       888       401         0
      0.26       889       342         0
      0.31       890       539         0
      0.30       891       711         0
      0.38       892       558         0
      0.26       893       747         0
      0.52       894       783         0
      0.25       895       557         0
      0.27       896       604         0
      0.24       897       863         0
      0.31       898       789         0
      0.33       899       732         0
      0.24       900       111         0
      0.36       901       790         0
      0.21       902       860         0
      0.23       903       794         0
      0.27       904        34         0
      0.36       905       739         0
      0.37       906       843         0
      0.23       907       704         0
      0.33       908       596         0
      0.35       909       587         0
      0.21       910       886         0
      0.05       911       752         0
      0.38       912       636         0
      0.28       913       877         0
      0.29       914       156         0
      0.31       915       571         0
      0.34       916       459         0
      0.36       917       720         0
      0.28       918       277         0
      0.37       919       153         0
      0.33       920       550         0
      0.33       921       687         0
      0.36       922       583         0
      0.27       923       800         0
      0.05       924       826         0
      0.35       925       668         0
      0.33       926       343         0
      0.38       927       415         0
      0.25       928       513         0
      0.35       929       503         0
      0.05       930       772         0
      0.27       931       841         0
      0.35       932       228         0
      0.37       933       374         0
      0.26       934       456         0
      0.33       935       725         0
      0.22       936       434         0
      0.32       937       653         0
      0.34       938       870         0
      0.44       939       584         0
      0.27       940       834         0
      0.33       941       104         0
      0.15       942       726         0
      0.24       943       116         0
      0.26       944       332         0
      0.33       945       828         0
      0.29       946       801         0
      0.32       947       682         0
      0.07       948       818         0
      0.31       949       353         0
      0.05       950       783         0
      0.19       951       716         0
      0.32       952       612         0
      0.35       953       247         0
      0.38       954       775         0
      0.47       955        71         0
      0.18       956       835         0
      0.29       957       558         0
      0.29       958       401         0
      0.32       959       442         0
      0.38       960       228         0
      0.06       961       844         0
      0.30       962       885         0
      0.11       963       873         0
      0.27       964       727         0
      0.27       965       801         0
      0.35       966        70         0
      0.34       967       323         0
      0.22       968       435         0
      0.32       969       153         0
      0.05       970       893         0
      0.32       971       559         0
      0.32       972       775         0
      0.33       973       675         0
      0.38       974       828         0
      0.24       975       402         0
      0.36       976       670         0
      0.31       977       185         0
      0.06       978       853         0
      0.36       979       725         0
      0.38       980       451         0
      0.32       981        90         0
      0.34       982       703         0
      0.27       983       389         0
      0.10       984       822         0
      0.13       985       581         0
      0.27       986       649         0
      0.29       987       119         0
      0.08       988       862         0
      0.37       989       234         0
      0.35       990       574         0
      0.12       991       787         0
      0.28       992       572         0
      0.30       993       442         0
      0.33       994       134         0
      0.37       995       721         0
      0.31       996        60         0
      0.19       997       726         0
      0.40       998       451         0
      0.36       999       738         0
      0.28      1000       442         0
      0.30      1001       115         0
      0.36      1002       684         0
      0.24      1003       307         0
      0.32      1004       670         0
      0.41      1005       397         0
      0.25      1006       614         0
